عدد التصاريح من نسك,نوع التصريح,الجنس,اليوم
13039,روضة نساء,أنثى,1444/10/8
31446,عمرة,أنثى,1444/10/3
18119,روضة رجال,ذكر,1444/12/1
8413,روضة نساء,أنثى,1444/2/11
15350,عمرة,ذكر,1444/2/15
8346,روضة رجال,ذكر,1444/2/10
15364,عمرة,ذكر,1444/2/8
51898,عمرة,ذكر,1444/2/20
14941,روضة رجال,ذكر,1444/4/10
10999,روضة نساء,أنثى,1444/2/14
8846,روضة رجال,ذكر,1444/1/19
9139,عمرة,أنثى,1444/3/7
16810,روضة نساء,أنثى,1444/8/7
10640,روضة نساء,أنثى,1444/10/25
16821,روضة نساء,أنثى,1444/11/21
1659,عمرة,ذكر,1444/12/4
31677,عمرة,أنثى,1444/1/20
14808,روضة رجال,ذكر,1444/5/20
37054,عمرة,ذكر,1444/11/5
238,عمرة,أنثى,1444/12/17
297,عمرة,ذكر,1444/12/17
1434,عمرة,أنثى,1444/12/5
6104,عمرة,أنثى,1444/12/27
76,عمرة,أنثى,1444/11/22
18866,عمرة,أنثى,1444/11/15
23852,عمرة,أنثى,1444/1/9
3422,روضة نساء,أنثى,1444/12/13
230,عمرة,أنثى,1444/11/19
73,عمرة,أنثى,1444/12/16
142,عمرة,أنثى,1444/12/18
104,عمرة,أنثى,1444/12/12
11625,روضة رجال,ذكر,1444/12/12
9419,عمرة,ذكر,1444/12/23
10690,عمرة,ذكر,1444/12/21
64,عمرة,أنثى,1444/12/14
11206,روضة نساء,أنثى,1444/12/12
32,عمرة,أنثى,1444/11/23
24693,عمرة,أنثى,1444/1/1
13316,روضة رجال,ذكر,1444/12/9
9537,روضة رجال,ذكر,1444/12/8
41,روضة نساء,ذكر,1444/1/13
41,روضة نساء,ذكر,1444/6/25
2,روضة نساء,ذكر,1444/7/23
5,روضة نساء,ذكر,1444/6/4
17,روضة نساء,ذكر,1444/5/14
27,روضة نساء,ذكر,1444/5/9
24,روضة نساء,ذكر,1444/9/15
30,روضة نساء,ذكر,1444/9/26
6,روضة نساء,ذكر,1444/10/20
7,روضة نساء,ذكر,1444/9/22
6,روضة نساء,ذكر,1444/10/29
3,روضة نساء,ذكر,1444/8/21
26,روضة نساء,ذكر,1444/9/17
14,روضة نساء,ذكر,1444/5/11
8,روضة نساء,ذكر,1444/9/6
4,روضة نساء,ذكر,1444/10/7
4,روضة نساء,ذكر,1444/6/8
4,روضة نساء,ذكر,1444/10/23
4,روضة نساء,ذكر,1444/8/25
3,روضة نساء,ذكر,1444/12/11
1,روضة نساء,ذكر,1444/1/29
2,روضة نساء,ذكر,1444/6/9
2,روضة نساء,ذكر,1444/6/29
2,روضة رجال,أنثى,1444/1/8
5,روضة رجال,أنثى,1444/1/14
1,روضة رجال,أنثى,1444/4/1
1,روضة رجال,أنثى,1444/10/5
1,روضة رجال,أنثى,1444/10/6
